unit,topics,date_start,date_end,,,,,,,,
1,Nature & Sources,11-May,12-May,,,,,,,,
2,Treaties & Domestic Law,14-May,15-May,,,,,,,,
3,International Personality ,18-May,19-May,"5, 7 & 8",,,,,,,
4,International Human Rights Law,21-May,22-May,6,,,,,,,
5,Responsibility & Immunity,1-Jun,2-Jun,9 & 11,,,,,,,
6,Law of the Sea,4-Jun,5-Jun,10,,,,,,,
7,International Economic law,8-Jun,9-Jun,,,,,,,,
8,International Criminal Law,11-Jun,12-Jun,,,,,,,,
9,"The Use of Force, Collective Security and Peacekeeping",15-Jun,16-Jun,,,,,,,,
10,Exam,18-Jun,19-Jun,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
