unit,topics,date_start,date_end,,
1,Nature & Sources,11-May,12-May,,
2,The Law of Treaties,14-May,15-May,,
3,International Law and Domestic Law,18-May,19-May,,
4,International Personality ,21-May,22-May,,
5,International Human Rights Law,1-Jun,2-Jun,,
6,Responsibility & Immunity,4-Jun,5-Jun,,
7,Law of the Sea,8-Jun,9-Jun,,
8,International Economic law,11-Jun,12-Jun,,
9,International Criminal Law,15-Jun,16-Jun,,
10,"The Use of Force, Collective Security and Peacekeeping",18-Jun,19-Jun,,
